status,type,id,prefab_resource_path,thumbnail_resource_path,source
ready,background,RoomOfAstronomer,Backgrounds/RoomOfAstronomer/background,Backgrounds/RoomOfAstronomer/store_thumbnail,1 roots; 7 particle systems
excluded,decoration,RoomOfAstronomer_Astronomy_Bookcase,Decorations/RoomOfAstronomer_Bookcase/decoration,Decorations/RoomOfAstronomer_Bookcase/store_thumbnail,Astronomy_Bookcase
ready,decoration,RoomOfAstronomer_Astronomy_Telescope,Decorations/RoomOfAstronomer_Telescope/decoration,Decorations/RoomOfAstronomer_Telescope/store_thumbnail,Astronomy_Telescope
ready,decoration,RoomOfAstronomer_Astronomy_Globe,Decorations/RoomOfAstronomer_globe/globe,Decorations/RoomOfAstronomer_globe/globe_store_thumbnail,Astronomy_Globe
ready,decoration,RoomOfAstronomer_Astronomy_Desk,Decorations/RoomOfAstronomer_Desk/decoration,Decorations/RoomOfAstronomer_Desk/store_thumbnail,Astronomy_Desk
ready,background,MushroomForest,Backgrounds/MushroomForest/background,Backgrounds/MushroomForest/store_thumbnail,3 roots; 0 particle systems
ready,decoration,MushroomForest_Tree_03,Decorations/MushroomForest_Tree_03/decoration,Decorations/MushroomForest_Tree_03/store_thumbnail,Tree_03
ready,decoration,MushroomForest_Tree_04,Decorations/MushroomForest_Tree_04/decoration,Decorations/MushroomForest_Tree_04/store_thumbnail,Tree_04
ready,decoration,MushroomForest_ForestPart_05,Decorations/MushroomForest_ForestPart_05/decoration,Decorations/MushroomForest_ForestPart_05/store_thumbnail,ForestPart_05
ready,decoration,MushroomForest_ForestPart_12,Decorations/MushroomForest_ForestPart_12/decoration,Decorations/MushroomForest_ForestPart_12/store_thumbnail,ForestPart_12
ready,decoration,MushroomForest_ForestPart_06,Decorations/MushroomForest_ForestPart_06/decoration,Decorations/MushroomForest_ForestPart_06/store_thumbnail,ForestPart_06
ready,decoration,MushroomForest_ForestPart_09,Decorations/MushroomForest_ForestPart_09/decoration,Decorations/MushroomForest_ForestPart_09/store_thumbnail,ForestPart_09
ready,decoration,MushroomForest_ForestPart_07,Decorations/MushroomForest_ForestPart_07/decoration,Decorations/MushroomForest_ForestPart_07/store_thumbnail,ForestPart_07
ready,decoration,MushroomForest_ForestPart_10,Decorations/MushroomForest_ForestPart_10/decoration,Decorations/MushroomForest_ForestPart_10/store_thumbnail,ForestPart_10
ready,decoration,MushroomForest_ForestPart_08,Decorations/MushroomForest_ForestPart_08/decoration,Decorations/MushroomForest_ForestPart_08/store_thumbnail,ForestPart_08
ready,decoration,MushroomForest_ForestPart_11,Decorations/MushroomForest_ForestPart_11/decoration,Decorations/MushroomForest_ForestPart_11/store_thumbnail,ForestPart_11
ready,decoration,MushroomForest_ForestPart_03,Decorations/MushroomForest_ForestPart_03/decoration,Decorations/MushroomForest_ForestPart_03/store_thumbnail,ForestPart_03
ready,decoration,MushroomForest_ForestPart_02,Decorations/MushroomForest_ForestPart_02/decoration,Decorations/MushroomForest_ForestPart_02/store_thumbnail,ForestPart_02
ready,decoration,MushroomForest_ForestPart_04,Decorations/MushroomForest_ForestPart_04/decoration,Decorations/MushroomForest_ForestPart_04/store_thumbnail,ForestPart_04
